iter	Passed	Remaining
0	7419	3702454
1	12702	3163019
2	17039	2822861
3	21297	2640855
4	26342	2607921
5	31221	2570566
6	35435	2495680
7	39691	2441030
8	43852	2392410
9	48044	2354157
10	52264	2323385
11	57165	2324723
12	61270	2295294
13	65932	2288794
14	70222	2270523
15	74189	2244239
16	78590	2232887
17	84365	2259107
18	90303	2286094
19	94338	2264113
20	98139	2238516
21	102039	2217033
22	106249	2203514
23	110042	2182516
24	114680	2178923
25	120425	2195448
26	128888	2257937
27	134892	2273901
28	140391	2280146
29	145116	2273488
30	149749	2265570
31	154648	2261740
32	159254	2253698
33	163930	2246812
34	168599	2239962
35	173222	2232651
36	177962	2226933
37	182350	2216996
38	187029	2210779
39	191594	2203337
40	196061	2194930
41	200630	2187825
42	205309	2182013
43	209875	2175076
44	214607	2169921
45	219183	2163248
46	224103	2159971
47	228617	2152813
48	233300	2147320
49	237879	2140915
50	242406	2134128
51	247001	2128015
52	251557	2121623
53	256327	2117073
54	260986	2111615
55	265454	2104673
56	270043	2098757
57	274401	2091127
58	279365	2088136
59	284004	2082697
60	288546	2076587
61	292734	2068028
62	297065	2060597
63	301517	2054087
64	305966	2047621
65	310533	2041990
66	314692	2033757
67	319529	2029950
68	324319	2025819
69	328912	2020463
70	333449	2014785
71	337937	2008850
72	342699	2004559
73	347459	2000241
74	352023	1994799
75	356688	1989944
76	361450	1985632
77	365784	1978990
78	370511	1974500
79	374982	1968657
80	379475	1962968
81	383924	1957077
82	388592	1952325
83	393035	1946460
84	397595	1941201
85	402300	1936656
86	406889	1931557
87	411220	1925257
88	415478	1918670
89	419791	1912382
90	424103	1906134
91	428788	1901582
92	433339	1896443
93	437950	1891571
94	442258	1885418
95	446675	1879758
96	451264	1874842
97	456003	1870543
98	460464	1865114
99	465067	1860271
100	469863	1856191
101	474289	1850660
102	478492	1844284
103	483062	1839351
104	487579	1834227
105	492280	1829796
106	496757	1824538
107	501444	1820057
108	505992	1815075
109	510422	1809680
110	514847	1804286
111	519244	1798809
112	524110	1794962
113	530754	1797117
114	535730	1793531
115	540281	1788517
116	544560	1782620
117	548970	1777176
118	553569	1772352
119	557901	1766687
120	562165	1760833
121	566388	1754875
122	570559	1748789
123	574721	1742703
124	578812	1736438
125	583472	1731895
126	587865	1726566
127	591972	1720420
128	596442	1715349
129	600711	1709717
130	605056	1704320
131	609394	1698916
132	613928	1694074
133	618402	1689068
134	622796	1683858
135	627625	1679820
136	633811	1679369
137	638952	1676093
138	643596	1671497
139	648137	1666638
140	653860	1664795
141	659011	1661450
142	663501	1656434
143	669518	1655198
144	674336	1650962
145	678645	1645483
146	683162	1640518
147	688047	1636436
148	692594	1631548
149	697366	1627187
150	702037	1622589
151	706587	1617714
152	711068	1612683
153	715925	1608508
154	720682	1604099
155	725732	1600332
156	733034	1601470
157	741119	1604195
158	748750	1605810
159	752607	1599290
160	758062	1596169
161	761849	1589537
162	767804	1587423
163	776396	1590665
164	782371	1588451
165	789521	1588554
166	797534	1590292
167	804835	1590509
168	809875	1586206
169	813639	1579417
170	817337	1572537
171	820931	1565496
172	824561	1558564
173	828419	1552095
174	832118	1545363
175	835672	1538397
176	839390	1531769
177	844520	1527727
178	852558	1528889
179	860448	1529685
180	866820	1527712
181	874950	1528759
182	880262	1524826
183	885160	1520167
184	889149	1513958
185	892986	1507515
186	896925	1501271
187	900921	1495146
188	904957	1489109
189	909032	1483157
190	913032	1477104
191	916866	1470806
192	920787	1464672
193	924535	1458287
194	928589	1452409
195	932477	1446291
196	936149	1439865
197	940104	1433896
198	944018	1427886
199	948266	1422399
200	952195	1416449
201	956130	1410529
202	960138	1404733
203	963893	1398590
204	967996	1392970
205	972976	1388617
206	977801	1384038
207	982282	1378973
208	986408	1373420
209	990465	1367785
210	994936	1362732
211	998939	1357049
212	1003246	1351792
213	1007373	1346302
214	1011388	1340678
215	1015569	1335285
216	1019536	1329625
217	1023488	1323962
218	1027591	1318508
219	1031850	1313264
220	1036025	1307923
221	1040020	1302368
222	1044299	1297179
223	1048702	1292151
224	1052884	1286858
225	1056860	1281326
226	1061077	1276097
227	1065103	1270650
228	1069034	1265101
229	1073176	1259816
230	1077970	1255299
231	1082585	1250573
232	1087389	1246064
233	1092307	1241683
234	1097364	1237453
235	1102455	1233255
236	1107186	1228649
237	1111901	1224026
238	1116595	1219377
239	1121843	1215329
240	1127052	1211230
241	1131069	1205851
242	1135306	1200715
243	1139292	1195323
244	1143186	1189847
245	1147623	1184944
246	1151547	1179520
247	1155352	1173987
248	1159480	1168793
249	1163460	1163460
250	1167582	1158279
251	1171370	1152777
252	1175443	1147567
253	1179225	1142084
254	1183419	1137011
255	1187271	1131617
256	1191280	1126386
257	1195310	1121182
258	1199194	1115852
259	1203233	1110676
260	1207239	1105479
261	1211124	1100181
262	1214940	1094832
263	1218740	1089479
264	1222703	1084284
265	1226484	1078937
266	1230229	1073571
267	1233833	1068094
268	1237932	1063057
269	1242742	1058632
270	1247219	1053923
271	1252029	1049495
272	1256921	1045132
273	1261502	1040509
274	1266158	1035948
275	1271224	1031718
276	1276096	1027326
277	1280909	1022884
278	1285694	1018417
279	1290323	1013825
280	1294978	1009253
281	1299779	1004794
282	1304741	1000455
283	1309310	995813
284	1313962	991234
285	1318488	986561
286	1323231	982049
287	1327581	977247
288	1332236	972670
289	1336869	968077
290	1341682	963613
291	1346270	958987
292	1350855	954358
293	1355838	950009
294	1360364	945338
295	1365160	940854
296	1369645	936155
297	1374599	931775
298	1378981	927007
299	1383919	922612
300	1388944	918272
301	1393698	913749
302	1398142	909023
303	1402362	904154
304	1407279	899736
305	1411846	895091
306	1416504	890506
307	1420983	885807
308	1425578	881183
309	1430377	876682
310	1435102	872136
311	1439455	867364
312	1444201	862829
313	1448733	858166
314	1453416	853594
315	1458323	849150
316	1463033	844590
317	1467468	839871
318	1471701	835040
319	1476204	830365
320	1480795	825739
321	1485372	821106
322	1490188	816604
323	1494446	811797
324	1498580	806928
325	1503258	802352
326	1508909	798291
327	1513230	793523
328	1519959	790009
329	1524682	785442
330	1529156	780747
331	1533446	775960
332	1538050	771334
333	1542485	766624
334	1546873	761892
335	1551570	757314
336	1556098	752652
337	1560326	747848
338	1564539	743040
339	1569192	738443
340	1573496	733682
341	1577994	729015
342	1582438	724323
343	1586917	719648
344	1591647	715088
345	1595998	710357
346	1600506	705698
347	1605252	701144
348	1609673	696449
349	1613825	691639
350	1618820	687191
351	1623473	682596
352	1628074	677980
353	1633240	673596
354	1637729	668931
355	1642094	664217
356	1646405	659484
357	1651038	654881
358	1655748	650308
359	1659976	645546
360	1664617	640947
361	1668891	636207
362	1673284	631515
363	1677812	626875
364	1682201	622183
365	1686654	617518
366	1690902	612779
367	1695246	608077
368	1700157	603579
369	1704710	598952
370	1709113	594274
371	1713482	589585
372	1718056	584968
373	1722349	580256
374	1726775	575591
375	1730967	570851
376	1735255	566144
377	1739784	561517
378	1744234	556866
379	1748653	552206
380	1753148	547571
381	1757593	542921
382	1761924	538237
383	1766349	533584
384	1770647	528894
385	1775041	524235
386	1779856	519699
387	1784241	515038
388	1788813	510432
389	1793015	505722
390	1797524	501100
391	1802022	496475
392	1806390	491816
393	1810878	487190
394	1815594	482626
395	1819873	477946
396	1824240	473291
397	1829585	468888
398	1834605	464398
399	1841097	460274
400	1846197	455794
401	1850945	451225
402	1855374	446579
403	1859875	441950
404	1864708	437400
405	1869455	432829
406	1874181	428252
407	1878876	423668
408	1883233	419007
409	1887445	414317
410	1891678	409633
411	1895860	404941
412	1900395	400325
413	1905032	395731
414	1909440	391090
415	1913678	386415
416	1918184	381796
417	1922807	377201
418	1927260	372572
419	1932256	368048
420	1936787	363435
421	1941127	358786
422	1945382	354123
423	1949795	349491
424	1954209	344860
425	1958405	340192
426	1962932	335583
427	1967266	330941
428	1971621	326305
429	1976202	321707
430	1980408	317049
431	1984768	312417
432	1988888	307749
433	1993067	303093
434	1997484	298474
435	2001695	293826
436	2006001	289194
437	2010197	284548
438	2014826	279964
439	2019052	275325
440	2023341	270696
441	2028106	266131
442	2032313	261494
443	2036690	256879
444	2040934	252250
445	2045170	247621
446	2049608	243018
447	2054060	238417
448	2058767	233846
449	2062962	229218
450	2067547	224633
451	2071822	220016
452	2076410	215433
453	2081350	210885
454	2085650	206273
455	2090064	201672
456	2094188	197046
457	2098660	192453
458	2102839	187835
459	2107363	183248
460	2111856	178660
461	2116250	174063
462	2120455	169453
463	2124683	164846
464	2128911	160240
465	2133264	155645
466	2137767	151062
467	2142306	146482
468	2146848	141902
469	2151244	137313
470	2155456	132713
471	2159755	128121
472	2165170	123593
473	2170502	119057
474	2175051	114476
475	2181018	109967
476	2185448	105378
477	2189872	100789
478	2194200	96196
479	2198409	91600
480	2202731	87010
481	2207088	82422
482	2211299	77830
483	2215571	73242
484	2219709	68650
485	2223930	64063
486	2228213	59480
487	2232655	54901
488	2237256	50326
489	2241757	45750
490	2246267	41173
491	2250434	36592
492	2254209	32007
493	2257897	27423
494	2261557	22844
495	2265367	18269
496	2269131	13696
497	2273072	9128
498	2276844	4562
499	2281414	0
